Company,Ticker,Earning Time,Earning Score,Starting Week,Earning Date,Market Time,Left-day Open,Right-day Open,Left-day Close,Right-day Close,Left-day High,Right-day High,Left-day Low,Right-day Low,Close diff,Hi-lo diff,Change,Predict,DIFF,True Label
Take-Two,TTWO,Mon after market,47,2021-02-08,2021-02-08,AFH,210.48,202.69,213.34,200.31,214.91,203.86,209.44,197.65,-6.107621636823845,-2.6642475171886892,BEAR,NEUTRAL,-2.6642475171886892,BEAR
Canopy Growth,CGC,Tue before market,14,2021-02-08,2021-02-09,PREMARKET,43.15,44.36,43.87,49.09,44.55,50.92,43.0,44.03,11.898791885115134,18.418604651162784,BULL,NEUTRAL,18.418604651162784,BULL
Hanes,HBI,Tue before market,-16,2021-02-08,2021-02-09,PREMARKET,15.62,16.87,15.6,19.49,15.76,19.53,15.47,16.83,24.935897435897438,26.24434389140271,BULL,NEUTRAL,26.24434389140271,BULL
Yelp,YELP,Tue after market,-12,2021-02-08,2021-02-09,AFH,37.53,39.06,38.51,36.79,39.58,39.95,37.27,34.72,-4.466372370812777,7.190770056345586,BEAR,NEUTRAL,7.190770056345586,BULL
Mattel,MAT,Tue after market,-16,2021-02-08,2021-02-09,AFH,18.66,19.03,18.86,18.47,19.03,19.03,18.46,17.55,-2.067868504772008,3.0877573131094183,BEAR,NEUTRAL,3.0877573131094183,BULL
AutoNation,AN,Tue before market,5,2021-02-08,2021-02-09,PREMARKET,77.86,79.3,79.35,78.98,79.4,79.63,77.27,77.79,-0.46628859483300866,3.0542254432509353,NEUTRAL,NEUTRAL,3.0542254432509353,BULL
CVS,CVS,Tue before market,41,2021-02-08,2021-02-09,PREMARKET,71.56,72.32,72.07,72.57,72.08,73.21,71.27,71.94,0.693769945885947,2.7220429353163933,NEUTRAL,NEUTRAL,2.7220429353163933,BULL
Advance Auto,AAP,Tue before market,-61,2021-02-08,2021-02-09,PREMARKET,157.36,156.98,157.42,159.63,158.99,161.09,156.54,156.39,1.403887688984895,2.9066053404880554,NEUTRAL,BEAR,2.9066053404880554,BULL
Lyft,LYFT,Tue after market,-54,2021-02-08,2021-02-09,AFH,52.94,58.5,53.64,56.21,54.79,59.4,52.7,55.26,4.791200596569722,12.713472485768484,BULL,BEAR,12.713472485768484,BULL
Callaway,ELY,Wed after market,32,2021-02-08,2021-02-10,AFH,31.86,29.18,31.62,30.66,32.59,31.46,30.78,28.5,-3.0360531309297945,2.209226770630268,BEAR,NEUTRAL,2.209226770630268,BULL
